title,vote_average,vote_count,runtime,genres,year
The Brothers Grimm,5.6,847.0,118.0,"['adventure', 'fantasy', 'action', 'comedy', 'thriller']",2005
The Desperadoes,4.8,6.0,87.0,"['comedy', 'romance', 'western']",1943
Black Dragons,6.0,2.0,64.0,"['horror', 'war']",1942
The Holy Girl,6.8,10.0,106.0,"['drama', 'foreign']",2004
They Came Back,5.7,23.0,102.0,"['drama', 'fantasy']",2004
The Baxter,6.4,11.0,91.0,"['comedy', 'romance']",2005
The Cave,5.2,204.0,97.0,"['action', 'adventure', 'horror', 'thriller']",2005
Undiscovered,4.5,13.0,97.0,"['comedy', 'romance']",2005
Dirty Deeds,5.8,32.0,87.0,"['comedy', 'drama']",2005
The Constant Gardener,6.9,428.0,129.0,"['drama', 'mystery', 'thriller']",2005
Transporter 2,6.2,1076.0,87.0,"['action', 'thriller', 'crime']",2005
Margaret Cho: Assassin,7.0,2.0,90.0,['comedy'],2005
Just Like Heaven,6.5,595.0,95.0,"['comedy', 'fantasy', 'romance']",2005
Proof,6.2,182.0,100.0,"['drama', 'mystery']",2005
Lord of War,7.0,1356.0,122.0,"['crime', 'drama', 'thriller']",2005
Venom,4.7,49.0,85.0,"['horror', 'thriller']",2005
Cry_Wolf,5.6,127.0,90.0,"['horror', 'thriller']",2005
Everything is Illuminated,7.4,251.0,106.0,"['comedy', 'drama']",2005
Thumbsucker,6.2,68.0,96.0,"['comedy', 'drama']",2005
The Thing About My Folks,5.4,9.0,96.0,"['family', 'comedy', 'drama']",2005
HellBent,3.8,10.0,85.0,['horror'],2004
G,6.8,7.0,96.0,"['drama', 'romance']",2002
In Old Chicago,5.0,5.0,95.0,"['action', 'drama']",1937
Now and Forever,5.0,6.0,81.0,"['drama', 'romance']",1934
L.A. Without a Map,6.0,11.0,107.0,"['drama', 'comedy', 'romance']",1998
Where Angels Fear to Tread,6.1,5.0,108.0,"['drama', 'foreign', 'romance']",1991
Family Guy Presents Stewie Griffin: The Untold Story,7.0,113.0,88.0,"['comedy', 'animation']",2005
Born in Flames,6.7,7.0,80.0,"['science fiction', 'drama']",1983
Revenge of the Ninja,5.8,22.0,90.0,"['action', 'crime', 'drama', 'thriller']",1983
Sometimes in April,7.2,16.0,140.0,"['drama', 'history', 'war']",2005
Bookies,6.8,19.0,88.0,"['drama', 'action', 'comedy']",2003
Angel In My Pocket,5.0,1.0,105.0,[],1969
Police Story 2,6.9,93.0,101.0,"['action', 'crime', 'thriller']",1988
Le Jour se Lève,7.4,25.0,93.0,"['crime', 'drama']",1939
International House,5.2,6.0,68.0,['comedy'],1933
New Police Story,7.0,176.0,123.0,"['action', 'thriller', 'crime', 'drama']",2004
The Edge of the World,6.4,7.0,81.0,"['romance', 'drama', 'history']",1937
Golden Boy,5.8,10.0,99.0,"['drama', 'romance']",1939
Go West,6.7,26.0,80.0,"['comedy', 'western']",1940
Why We Fight,7.8,33.0,98.0,"['documentary', 'drama', 'history']",2005
Companeros,6.7,16.0,118.0,"['action', 'comedy', 'western']",1970
Will Penny,6.4,20.0,110.0,"['romance', 'western']",1967
200 Motels,5.5,5.0,98.0,"['fantasy', 'comedy', 'documentary', 'science fiction', 'music']",1971
Gertrud,7.3,33.0,119.0,"['drama', 'romance']",1964
Come Drink with Me,6.9,28.0,91.0,"['adventure', 'action']",1966
Kitty Foyle,5.3,8.0,108.0,"['romance', 'drama']",1940
Doom,5.0,619.0,105.0,"['adventure', 'action', 'horror']",2005
Domino,6.0,450.0,127.0,"['action', 'crime']",2005
Waiting...,6.2,241.0,94.0,['comedy'],2005
Æon Flux,5.4,717.0,93.0,"['action', 'science fiction']",2005
Frankenstein 90,0.0,0.0,100.0,"['comedy', 'foreign', 'horror']",1984
Wedlock,5.7,26.0,101.0,"['action', 'science fiction', 'thriller']",1991
An Unfinished Life,6.7,165.0,108.0,['drama'],2005
The Man,5.4,137.0,83.0,"['action', 'comedy', 'crime']",2005
Survive Style 5+,7.6,55.0,120.0,"['comedy', 'drama', 'horror', 'mystery']",2004
Woyzeck,6.6,44.0,82.0,['drama'],1979
It's a Gift,6.2,18.0,68.0,['comedy'],1934
Zozo,5.4,7.0,105.0,['drama'],2005
Blue Hill Avenue,6.8,9.0,128.0,"['crime', 'drama']",2001
Chapter Two,7.5,2.0,124.0,"['romance', 'drama']",1979
16 Years of Alcohol,6.8,8.0,102.0,"['crime', 'drama']",2003
The Exorcism of Emily Rose,6.3,675.0,122.0,"['crime', 'drama', 'horror', 'thriller']",2005
Flightplan,6.1,796.0,98.0,"['thriller', 'drama', 'mystery']",2005
Corpse Bride,7.2,1957.0,77.0,"['romance', 'fantasy', 'animation', 'music']",2005
Green Street Hooligans,7.1,652.0,109.0,"['crime', 'drama']",2005
A History of Violence,6.9,850.0,96.0,"['drama', 'thriller', 'crime']",2005
Oliver Twist,6.7,283.0,130.0,"['crime', 'drama', 'family']",2005
The Greatest Game Ever Played,6.9,112.0,120.0,"['drama', 'family']",2005
Capote,6.9,394.0,114.0,"['crime', 'drama']",2005
The Story of Vernon and Irene Castle,6.8,10.0,93.0,"['drama', 'history', 'music', 'romance']",1939
The Anderson Tapes,6.4,40.0,99.0,"['action', 'crime', 'drama', 'thriller']",1971
Born to Fight,5.3,13.0,96.0,"['crime', 'action', 'thriller']",2004
Final Fantasy VII: Advent Children,6.7,290.0,101.0,"['action', 'adventure', 'animation', 'fantasy']",2005
Cockles and Muscles,5.1,7.0,93.0,['comedy'],2005
Roll Bounce,6.0,28.0,112.0,"['comedy', 'drama', 'family']",2005
Daltry Calhoun,5.4,8.0,100.0,"['comedy', 'drama', 'music']",2005
Into the Blue,5.8,466.0,110.0,"['action', 'thriller', 'adventure', 'crime']",2005
"The Prize Winner of Defiance, Ohio",5.8,16.0,99.0,['drama'],2005
Mirrormask,6.6,107.0,101.0,['fantasy'],2005
Kwik Stop,7.4,4.0,110.0,['drama'],2001
Innocence,6.4,23.0,122.0,"['drama', 'mystery']",2004
4,5.2,10.0,126.0,['drama'],2005
Book of Love,5.1,7.0,83.0,['drama'],2004
American Yakuza,5.9,15.0,96.0,"['action', 'drama', 'crime']",1993
The Flowers of St. Francis,6.2,13.0,75.0,"['history', 'drama']",1950
Madhouse,5.6,40.0,91.0,"['horror', 'thriller']",2004
Man to Man,7.1,8.0,122.0,['drama'],2005
Münchhausen,6.8,16.0,134.0,"['fantasy', 'comedy']",1943
Medea,6.6,14.0,76.0,['drama'],1988
The Curse of the Were-Rabbit,6.8,660.0,85.0,"['adventure', 'animation', 'comedy', 'family']",2005
Seven Swords,6.0,46.0,153.0,"['action', 'drama']",2005
Kiss Kiss Bang Bang,7.2,900.0,103.0,"['action', 'comedy', 'crime', 'mystery']",2005
Whispering Corridors 3: Wishing Stairs,5.9,30.0,97.0,['horror'],2003
A Bittersweet Life,7.5,170.0,120.0,"['action', 'drama', 'crime']",2005
Dumplings,6.4,58.0,91.0,['horror'],2004
A Short Film About Love,7.9,65.0,86.0,"['drama', 'romance']",1988
"All This, and Heaven Too",5.9,12.0,141.0,"['drama', 'romance']",1940
Bubble,6.4,36.0,73.0,"['drama', 'crime', 'mystery']",2005
Beowulf & Grendel,6.1,62.0,103.0,"['action', 'adventure', 'drama', 'fantasy']",2005
No Direction Home: Bob Dylan,7.5,33.0,208.0,"['documentary', 'music']",2005
Valerie and Her Week of Wonders,6.9,53.0,73.0,"['fantasy', 'adventure', 'drama']",1970
Everybody's Fine,6.4,24.0,118.0,['drama'],1990
Hail the Conquering Hero,7.1,17.0,101.0,"['comedy', 'war']",1944
Goal!: The Dream Begins,6.6,244.0,118.0,['drama'],2005
Forty Shades of Blue,6.0,2.0,108.0,"['drama', 'romance']",2005
Touch the Sound,7.5,2.0,99.0,"['documentary', 'music']",2004
Angels in America,6.8,52.0,352.0,"['drama', 'fantasy']",2003
Speak,6.7,144.0,89.0,['drama'],2004
The Wraith,5.9,109.0,93.0,"['romance', 'science fiction', 'horror', 'action', 'crime']",1986
Factotum,6.4,46.0,94.0,"['comedy', 'drama', 'romance']",2005
Sweet Movie,5.8,36.0,99.0,"['mystery', 'comedy', 'drama']",1974
By Dawn's Early Light,6.3,17.0,101.0,"['tv movie', 'action', 'drama', 'thriller']",1990
Don't Come Knocking,6.4,23.0,123.0,"['drama', 'music']",2005
Bullets or Ballots,6.8,12.0,82.0,"['crime', 'drama', 'thriller']",1936
In Her Shoes,6.0,446.0,130.0,"['comedy', 'drama', 'romance']",2005
Mother of Mine,6.8,18.0,111.0,['drama'],2005
The Ketchup Effect,5.3,15.0,90.0,['comedy'],2004
55 Days at Peking,6.5,38.0,154.0,"['action', 'drama', 'history']",1963
Dead & Breakfast,5.8,36.0,88.0,"['comedy', 'horror']",2004
Freeze Frame,6.9,18.0,99.0,"['thriller', 'drama', 'crime']",2004
Punishment Park,7.6,38.0,88.0,"['drama', 'thriller']",1971
The Mating Game,5.0,2.0,96.0,"['comedy', 'romance']",1959
The Squid and the Whale,6.9,229.0,81.0,"['comedy', 'drama']",2005
Two for the Money,5.9,156.0,122.0,"['comedy', 'crime', 'drama', 'thriller']",2005
Separate Lies,6.1,7.0,85.0,"['romance', 'drama', 'thriller']",2005
Fourteen Sucks,5.7,3.0,83.0,"['romance', 'drama']",2004
Star Wreck: In the Pirkinning,6.6,27.0,103.0,"['science fiction', 'action', 'comedy']",2005
Evelyn Prentice,5.1,6.0,79.0,"['drama', 'mystery', 'romance']",1934
Brokeback Mountain,7.5,1531.0,134.0,"['drama', 'romance']",2005
Blue Vinyl,6.0,3.0,98.0,['documentary'],2002
Elizabethtown,6.1,335.0,123.0,"['comedy', 'drama', 'romance']",2005
North Country,6.9,127.0,126.0,['drama'],2005
Leila,6.7,5.0,102.0,"['family', 'drama', 'romance']",1997
"Good Night, and Good Luck.",6.8,274.0,93.0,"['drama', 'history']",2005
Li'l Abner,10.0,1.0,114.0,"['comedy', 'music', 'family']",1959
Dreamer: Inspired By a True Story,6.4,72.0,106.0,"['drama', 'family']",2005
The Profession of Arms,5.9,8.0,105.0,"['adventure', 'drama', 'history', 'war']",2001
Detective Story,6.5,23.0,103.0,"['crime', 'drama']",1951
The Proposition,7.1,221.0,104.0,"['action', 'adventure', 'crime', 'drama', 'thriller', 'western']",2005
The Gospel,5.4,8.0,105.0,"['drama', 'music']",2005
Dandelion,7.8,4.0,93.0,"['drama', 'romance']",2004
C.S.A.: The Confederate States of America,5.9,22.0,89.0,"['war', 'comedy', 'drama']",2004
The Fog,3.8,191.0,100.0,"['horror', 'thriller']",2005
Loggerheads,6.4,7.0,95.0,['drama'],2005
Left Behind III: World at War,4.4,20.0,95.0,"['action', 'adventure', 'drama', 'fantasy', 'science fiction', 'thriller']",2005
Protocols Of Zion,6.5,4.0,95.0,['documentary'],2005
Living 'til the End,7.0,1.0,87.0,"['drama', 'romance']",2005
Shopgirl,5.7,80.0,104.0,"['comedy', 'drama', 'romance']",2005
Kids in America,5.8,9.0,91.0,"['comedy', 'drama']",2005
Where the Truth Lies,5.9,67.0,107.0,"['drama', 'mystery', 'thriller']",2005
Barely Legal,5.2,50.0,90.0,['comedy'],2003
Emmanuel's Gift,0.0,0.0,80.0,['documentary'],2005
Stay,6.5,346.0,99.0,"['mystery', 'thriller', 'drama']",2005
Confess,5.0,1.0,90.0,"['action', 'drama', 'thriller']",2005
The Legend of Zorro,5.9,909.0,129.0,"['action', 'adventure']",2005
God's Sandbox,0.0,0.0,86.0,"['romance', 'drama']",2002
New York Doll,6.8,8.0,75.0,"['documentary', 'music']",2005
The Weather Man,6.0,292.0,101.0,"['comedy', 'drama']",2005
Saw II,6.3,1288.0,92.0,['horror'],2005
Prime,5.7,268.0,102.0,"['comedy', 'drama', 'romance']",2005
One Wonderful Sunday,7.1,13.0,108.0,"['drama', 'comedy', 'romance']",1947
Will Success Spoil Rock Hunter?,6.6,16.0,93.0,"['comedy', 'drama', 'romance']",1957
Don't Move,7.0,51.0,125.0,"['drama', 'romance']",2004
Three Rooms of Melancholia,6.0,2.0,106.0,['documentary'],2004
"Race for Your Life, Charlie Brown",6.6,17.0,76.0,['animation'],1977
Jerusalem,6.0,5.0,168.0,['drama'],1996
"A Genius, Two Friends, and an Idiot",6.6,27.0,117.0,"['comedy', 'western']",1975
Teorema,6.8,51.0,98.0,"['mystery', 'drama']",1968
Little Fish,5.9,25.0,114.0,"['drama', 'crime']",2005
American Pie Presents: Band Camp,5.3,553.0,94.0,['comedy'],2005
Champion,6.1,21.0,99.0,['drama'],1949
Requiem for a Vampire,5.4,15.0,87.0,['horror'],1971
Life Is a Miracle,7.3,42.0,155.0,"['romance', 'drama', 'comedy']",2004
Tarzan the Ape Man,6.5,42.0,100.0,"['action', 'adventure']",1932
Tarzan and His Mate,6.1,38.0,100.0,"['drama', 'adventure', 'action']",1934
Midnight Lace,6.9,24.0,110.0,['thriller'],1960
Empire of the Wolves,5.5,57.0,128.0,['action'],2005
The Great Yokai War,5.8,16.0,124.0,"['comedy', 'fantasy', 'action']",2005
The Swindle,7.0,20.0,91.0,"['comedy', 'drama']",1955
Mahogany,6.3,6.0,109.0,"['drama', 'romance']",1975
Angels in Fast Motion,5.3,8.0,125.0,"['crime', 'drama']",2005
Manderlay,6.9,81.0,139.0,['drama'],2005
Week-End in Havana,5.0,1.0,81.0,"['comedy', 'romance', 'music']",1941
Nine Lives,6.2,13.0,115.0,"['drama', 'romance']",2005
South Central,6.6,20.0,99.0,"['crime', 'drama']",1992
Damnation Alley,5.0,27.0,91.0,"['action', 'adventure', 'science fiction']",1977
The Bridges at Toko-Ri,5.9,16.0,102.0,"['action', 'drama', 'war', 'romance']",1954
Love on the Run,6.9,19.0,89.0,"['comedy', 'drama', 'romance']",1979
Duck Season,7.2,17.0,90.0,"['drama', 'comedy', 'foreign']",2004
Aprile,7.0,22.0,78.0,['comedy'],1998
The Adventures of Prince Achmed,7.8,36.0,65.0,"['drama', 'animation', 'adventure', 'fantasy']",1926
The Gore Gore Girls,6.0,17.0,81.0,"['comedy', 'horror', 'mystery']",1972
Revolver,6.3,415.0,115.0,"['drama', 'thriller', 'crime', 'mystery']",2005
Wild Zero,5.5,16.0,98.0,['horror'],1999
Everything Put Together,5.0,2.0,87.0,['drama'],2001
Jarhead,6.6,776.0,125.0,"['drama', 'war']",2005
Siblings,5.8,5.0,85.0,['comedy'],2004
Ushpizin,6.3,5.0,90.0,"['comedy', 'drama']",2004
Chicken Little,5.6,974.0,81.0,"['animation', 'family', 'comedy']",2005
Romance & Cigarettes,6.0,33.0,105.0,"['comedy', 'music', 'romance']",2005
To The Other Side,5.9,4.0,90.0,"['drama', 'family']",2004
Dead Man's Shoes,7.2,155.0,90.0,"['drama', 'thriller', 'crime']",2004
Joyeux Noël,7.2,216.0,116.0,"['romance', 'drama', 'history', 'war', 'music']",2005
Count Dracula,6.2,21.0,98.0,['horror'],1970
The Brides of Dracula,6.2,46.0,85.0,['horror'],1960
The Stratton Story,6.1,7.0,106.0,['drama'],1949
The House That Dripped Blood,6.3,27.0,102.0,"['horror', 'mystery']",1971
Night of the Big Heat,5.4,13.0,94.0,"['science fiction', 'horror', 'thriller', 'mystery']",1967
The Gorgon,6.4,36.0,83.0,"['horror', 'fantasy']",1964
Night of the Lepus,4.9,25.0,88.0,"['horror', 'science fiction']",1972
The Match Factory Girl,7.0,40.0,66.0,"['drama', 'comedy']",1990
Zombie and the Ghost Train,7.7,3.0,88.0,"['music', 'drama', 'comedy']",1991
Highball,4.5,4.0,110.0,"['comedy', 'romance']",1997
Get Rich or Die Tryin',6.3,188.0,117.0,['drama'],2005
Sword of the Beast,7.3,13.0,85.0,"['action', 'drama', 'foreign']",1965
Just Friends,5.9,424.0,96.0,"['comedy', 'romance']",2005
Syriana,6.3,455.0,128.0,"['drama', 'thriller']",2005
Calamari Union,6.8,18.0,84.0,['comedy'],1985
The Best Intentions,6.0,10.0,182.0,"['drama', 'romance']",1992
La Vie de Bohème,7.4,26.0,100.0,"['comedy', 'drama', 'romance']",1992
Menolippu Mombasaan,4.8,6.0,88.0,['drama'],2002
Derailed,6.1,322.0,108.0,"['drama', 'thriller']",2005
Creep,5.5,136.0,85.0,"['horror', 'thriller', 'mystery']",2004
Pride & Prejudice,7.8,1406.0,135.0,"['drama', 'romance']",2005
Keep Your Distance,3.7,5.0,94.0,"['drama', 'mystery', 'romance']",2005
Edison,5.4,82.0,99.0,['thriller'],2005
Hi-Life,4.0,2.0,82.0,"['comedy', 'romance']",1998
Wolf Creek,6.1,288.0,99.0,"['horror', 'thriller']",2005
The Descent,6.9,1029.0,99.0,"['adventure', 'horror']",2005
Summer Interlude,7.6,24.0,96.0,"['romance', 'drama']",1951
Takeshis',6.2,17.0,108.0,"['comedy', 'drama']",2005
Forty Guns,6.3,21.0,79.0,"['action', 'western']",1957
Harry Potter and the Goblet of Fire,7.5,5758.0,157.0,"['adventure', 'fantasy', 'family']",2005
Dinner with Friends,5.2,13.0,94.0,"['comedy', 'drama']",2001
Walk the Line,7.3,732.0,136.0,"['drama', 'music', 'romance']",2005
Rent,6.7,159.0,135.0,"['drama', 'romance']",2005
A Story of Floating Weeds,6.3,13.0,86.0,['drama'],1934
My Mother's Smile,6.4,9.0,105.0,[],2002
Fists in the Pocket,8.4,23.0,105.0,"['drama', 'horror', 'foreign']",1965
Zathura: A Space Adventure,6.1,808.0,101.0,"['family', 'fantasy', 'science fiction', 'adventure']",2005
CRAZY,7.4,142.0,127.0,['drama'],2005
Lonesome Jim,6.4,26.0,91.0,"['comedy', 'drama', 'romance']",2005
Our Vines Have Tender Grapes,3.9,5.0,105.0,['drama'],1945
Sarah Silverman: Jesus Is Magic,6.8,16.0,70.0,['comedy'],2005
Bee Season,5.2,26.0,104.0,"['drama', 'family']",2005
Breakfast on Pluto,7.0,77.0,128.0,"['drama', 'comedy']",2005
The Ice Harvest,5.8,83.0,88.0,"['action', 'adventure', 'comedy', 'crime', 'drama', 'thriller']",2005
"Yours, Mine & Ours",5.7,233.0,90.0,"['comedy', 'family', 'romance']",2005
In The Mix,4.5,21.0,95.0,"['action', 'comedy', 'drama', 'romance']",2005
The Libertine,5.9,128.0,114.0,"['drama', 'romance']",2004
First Descent,6.0,2.0,110.0,['documentary'],2005
The Wild Geese,6.3,62.0,134.0,"['action', 'thriller', 'war']",1978
Hondo,6.3,42.0,83.0,['western'],1953
The Bird with the Crystal Plumage,7.1,90.0,98.0,"['horror', 'mystery', 'thriller']",1970
A Good Woman,6.0,39.0,94.0,"['comedy', 'drama', 'romance']",2004
Gate of Flesh,5.8,13.0,90.0,['drama'],1964
Brides,6.7,8.0,128.0,"['drama', 'foreign', 'romance']",2004
The Evil of Frankenstein,6.5,26.0,86.0,"['horror', 'science fiction']",1964
The Clockmaker of St. Paul,6.8,12.0,105.0,"['thriller', 'drama', 'crime']",1974
Welcome to the Roses,5.7,24.0,90.0,['comedy'],2003
The Driver,7.1,91.0,91.0,"['action', 'crime', 'drama', 'thriller']",1978
Mondovino,6.4,5.0,135.0,['documentary'],2004
Sounder,6.5,11.0,105.0,['drama'],1972
Match Point,7.2,1134.0,124.0,"['drama', 'thriller', 'crime', 'romance']",2005
Nazarin,7.5,23.0,94.0,['drama'],1959
Ziegfeld Follies,5.0,11.0,110.0,"['comedy', 'music']",1945
Lorna,6.8,8.0,78.0,['drama'],1964
The Deep,5.7,63.0,123.0,"['mystery', 'thriller', 'adventure']",1977
The Dying Gaul,6.7,8.0,95.0,['drama'],2005
After Innocence,7.0,4.0,95.0,['documentary'],2005
The Citadel,6.8,4.0,110.0,['drama'],1938
Beyond the Gates of Splendor,0.0,0.0,96.0,['documentary'],2002
A Southern Yankee,6.0,1.0,90.0,"['comedy', 'history', 'war']",1948
Paradise Now,6.9,63.0,90.0,"['thriller', 'crime', 'drama']",2005
The Kid & I,5.3,3.0,93.0,"['comedy', 'family']",2005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2709.0,143.0,"['adventure', 'family', 'fantasy']",2005
King Kong,6.6,2403.0,187.0,"['adventure', 'drama', 'action']",2005
Memoirs of a Geisha,7.3,670.0,145.0,"['drama', 'history', 'romance']",2005
The Family Stone,6.1,256.0,103.0,"['comedy', 'drama', 'romance']",2005
The Promise,5.0,29.0,98.0,"['fantasy', 'drama', 'action', 'thriller', 'romance']",2005
Kiss of Death,7.0,28.0,98.0,"['crime', 'drama', 'thriller']",1947
Where Were You When the Lights Went Out?,5.9,5.0,89.0,['comedy'],1968
Cuban Rafters,9.0,2.0,120.0,['documentary'],2002
Havoc,5.1,80.0,85.0,"['drama', 'thriller']",2005
Samurai Rebellion,7.9,38.0,128.0,"['romance', 'history', 'drama']",1967
Koirankynnen leikkaaja,6.8,4.0,0.0,['drama'],2004
Mother India,6.8,11.0,172.0,['drama'],1957
Cowards Bend the Knee,8.0,3.0,64.0,"['drama', 'romance']",2003
A Generation,7.0,12.0,83.0,"['war', 'drama']",1955
"Ivan the Terrible, Part II: The Boyars' Plot",7.0,21.0,88.0,"['history', 'drama']",1958
Down,4.1,18.0,111.0,"['action', 'horror', 'mystery', 'thriller']",2001
The Loveless,5.7,5.0,82.0,['drama'],1981
A Room for Romeo Brass,7.3,18.0,90.0,"['drama', 'comedy', 'foreign']",1999
Dona Flor and Her Two Husbands,6.2,13.0,110.0,"['comedy', 'drama', 'fantasy', 'romance']",1976
The Matador,6.2,137.0,96.0,"['action', 'comedy', 'crime', 'drama', 'thriller']",2005
Look Both Ways,5.3,11.0,100.0,"['drama', 'romance']",2005
Wal-Mart: The High Cost of Low Price,6.9,24.0,98.0,['documentary'],2005
7 Seconds,4.3,51.0,96.0,"['action', 'crime', 'thriller']",2005
8 Million Ways to Die,5.6,23.0,115.0,['crime'],1986
Beyond the Forest,5.9,9.0,97.0,"['drama', 'thriller']",1949
Phffft!,7.5,4.0,88.0,"['comedy', 'romance']",1954
Mozart and the Whale,6.5,41.0,92.0,"['comedy', 'drama', 'romance']",2005
The Organization,7.2,6.0,106.0,"['drama', 'action', 'thriller', 'crime']",1971
Cinderella Liberty,6.8,4.0,117.0,"['drama', 'romance']",1973
Knute Rockne All American,6.2,8.0,98.0,['drama'],1940
A Scene at the Sea,7.1,27.0,101.0,"['drama', 'romance']",1991
Birdcage Inn,6.3,17.0,100.0,['drama'],1998
Real Fiction,4.5,8.0,82.0,['thriller'],2000
Address Unknown,7.2,17.0,117.0,"['drama', 'foreign']",2001
Don't Look Now: We're Being Shot At,7.8,234.0,132.0,"['comedy', 'war']",1966
They Died with Their Boots On,6.1,20.0,140.0,"['drama', 'romance', 'war', 'western']",1941
The Three Burials of Melquiades Estrada,7.0,180.0,121.0,"['adventure', 'crime', 'drama', 'mystery', 'western']",2005
House of Strangers,5.5,15.0,101.0,"['crime', 'drama']",1949
Lili,6.0,13.0,81.0,"['drama', 'family', 'romance']",1953
Slim Susie,7.2,20.0,97.0,['comedy'],2003
Executive Protection,6.3,9.0,112.0,"['action', 'thriller']",2001
The Aura,6.9,42.0,134.0,"['crime', 'drama', 'thriller']",2005
The Ambushers,4.6,7.0,102.0,"['action', 'comedy']",1967
Day of Anger,6.4,31.0,111.0,['western'],1967
Munich,7.0,706.0,164.0,"['drama', 'action', 'history', 'thriller']",2005
The Producers,6.1,153.0,134.0,"['comedy', 'music']",2005
Transamerica,6.9,149.0,103.0,['drama'],2005
Rumor Has It...,5.3,309.0,97.0,['comedy'],2005
Cheaper by the Dozen 2,5.8,542.0,94.0,['comedy'],2005
Fun with Dick and Jane,5.9,639.0,90.0,['comedy'],2005
The Ringer,5.6,110.0,94.0,['comedy'],2005
Casanova,6.2,219.0,112.0,['comedy'],2005
Mrs Henderson Presents,6.4,62.0,103.0,"['comedy', 'drama']",2005
The White Countess,6.9,21.0,135.0,"['drama', 'history', 'family', 'romance']",2005
Dirty Love,4.9,26.0,91.0,['comedy'],2005
The Spirit of the Beehive,7.5,75.0,97.0,"['drama', 'fantasy']",1973
Our Father,6.2,5.0,84.0,['drama'],2002
Interrogation,6.9,16.0,118.0,['drama'],1989
Richard Pryor: Live in Concert,7.4,33.0,78.0,['comedy'],1979
Kevin & Perry Go Large,5.6,49.0,82.0,"['music', 'comedy']",2000
The Ear,7.5,10.0,94.0,"['mystery', 'thriller', 'drama', 'horror']",1970
The Debutantes,4.3,6.0,116.0,"['drama', 'foreign', 'thriller']",2003
Luxo Jr.,7.1,148.0,2.0,['animation'],1986
Keeping Mum,6.5,165.0,103.0,['comedy'],2005
Paheli,6.3,20.0,141.0,"['drama', 'thriller', 'science fiction', 'romance', 'foreign']",2005
Goodnight Mister Tom,6.0,16.0,85.0,"['drama', 'foreign', 'history']",1998
Late Spring,8.2,70.0,108.0,['drama'],1949
The Dentist,5.1,60.0,92.0,"['horror', 'thriller']",1996
David Copperfield,5.4,13.0,130.0,"['adventure', 'drama', 'romance']",1935
Family,7.0,2.0,98.0,[],1996
How to Irritate People,6.5,10.0,68.0,['comedy'],1969
Threads,7.9,54.0,112.0,"['drama', 'science fiction']",1984
Yamakasi,5.8,140.0,90.0,"['action', 'crime', 'drama']",2001
Love's Enduring Promise,6.8,14.0,88.0,"['tv movie', 'drama', 'romance']",2004
After Image,3.0,2.0,0.0,"['thriller', 'drama']",2001
After Midnight,5.3,8.0,90.0,"['thriller', 'horror']",1989
The New World,6.4,336.0,135.0,"['drama', 'history', 'romance']",2005
Voices of a Distant Star,6.5,62.0,25.0,"['animation', 'science fiction', 'drama']",2002
"When You Comin' Back, Red Ryder?",7.5,1.0,113.0,['drama'],1979
Christmas in Connecticut,7.1,35.0,102.0,"['comedy', 'romance']",1945
She,4.7,7.0,101.0,"['adventure', 'fantasy']",1935
Passport to Pimlico,6.8,22.0,84.0,['comedy'],1949
Whisky Galore!,6.9,33.0,82.0,"['comedy', 'crime']",1949
A Run for Your Money,7.0,1.0,85.0,['comedy'],1949
The Master of Ballantrae,5.5,8.0,90.0,"['action', 'drama']",1953
7 Faces of Dr. Lao,6.9,21.0,100.0,"['drama', 'family', 'fantasy', 'mystery', 'western']",1964
Samurai Assassin,6.2,9.0,122.0,"['drama', 'action', 'history']",1965
Lies My Father Told Me,0.0,0.0,102.0,['drama'],1975
We All Loved Each Other So Much,8.2,29.0,124.0,['drama'],1974
The Boys of Baraka,6.5,2.0,84.0,['documentary'],2005
Tartuffe,7.5,8.0,74.0,['drama'],1925
Sympathy for Lady Vengeance,7.4,362.0,115.0,"['drama', 'thriller']",2005
Boys Don't Cry,7.5,19.0,90.0,['comedy'],2000
Superprodukcja,2.0,1.0,92.0,[],2002
Grand Theft Parsons,6.0,11.0,88.0,"['crime', 'comedy', 'drama', 'adventure']",2003
Devil's Pond,5.2,9.0,92.0,"['thriller', 'drama']",2003
The Cross of Lorraine,5.6,7.0,90.0,"['war', 'drama']",1943
The Cutting Edge: The Magic of Movie Editing,7.1,28.0,98.0,['documentary'],2004
The Quiller Memorandum,6.0,22.0,104.0,"['action', 'thriller']",1966
49th Parallel,6.6,20.0,121.0,"['adventure', 'drama', 'thriller', 'war']",1941
Yesterday,8.3,6.0,96.0,['drama'],2004
Penelope,6.8,4.0,97.0,"['comedy', 'crime']",1966
Ted Bundy,5.6,38.0,99.0,"['crime', 'drama', 'horror']",2002
District B13,6.5,572.0,84.0,"['action', 'thriller', 'science fiction']",2004
BloodRayne,3.6,120.0,95.0,"['action', 'adventure', 'fantasy', 'horror']",2005
Hostel,5.7,913.0,94.0,['horror'],2005
Grandma's Boy,6.6,222.0,94.0,['comedy'],2006
Tristan & Isolde,6.4,240.0,125.0,['drama'],2006
Glory Road,7.2,145.0,118.0,['drama'],2006
Last Holiday,6.4,123.0,112.0,"['adventure', 'comedy', 'drama']",2006
Hoodwinked!,6.0,491.0,80.0,"['animation', 'comedy', 'family']",2005
